street_key,avg_price,transaction_count,std_dev,min_price,max_price,district,district_median,undervalued
ACKENDER ROAD | GU34 1NQ,271333.3333333333,3,76356.61944673385,185000,330000,GU34,393333.3333333333,True
ACOMB AVENUE | NE25 0JF,105000.0,3,101336.07452432722,45000,222000,NE25,275838.11904761905,True
ACOMB ROAD | YO24 4HS,130083.33333333333,6,19938.44694720897,92000,147500,YO24,287500.0,True
ACONBURY AVENUE | HR2 6HR,183333.33333333334,3,80829.0376865476,110000,270000,HR2,243983.33333333334,True
ACORN COURT | L8 5TA,95875.0,4,7284.401142166733,90000,105000,L8,138416.6666666667,True
ACORN GARDENS | PL7 4NJ,135833.33333333334,3,69159.83902044114,56000,177500,PL7,257583.33333333334,True
ACOTT FIELDS | ME18 6DQ,260000.0,3,148462.11637990345,164000,431000,ME18,333641.6666666666,True
ACRE LANE | BD2 2EH,129250.0,4,52366.496923128245,76000,180000,BD2,173500.0,True
ACRE LANE | SW2 5TX,321000.0,4,15556.34918610405,310000,343000,SW2,520291.6666666666,True
ACRE STREET | M34 2AE,165000.0,3,5000.0,160000,170000,M34,223666.66666666666,True
ACREMAN STREET | DT9 3NZ,128250.0,4,8500.0,120000,140000,DT9,275489.5833333334,True
ACTON HALL WALKS | LL12 7YJ,171490.0,5,37148.862701299484,120000,225000,LL12,330000.0,True
ACTON LANE | W4 5TH,579100.0,3,18464.289859076627,565000,600000,W4,775066.6666666666,True
ACTONVILLE AVENUE | M22 9AN,132333.33333333334,3,5773.502691896259,129000,139000,M22,224500.0,True
ADAMS CROFT | TF10 8PY,133000.0,3,866.0254037844386,132000,133500,TF10,230583.3333333333,True
ADAMSON CLOSE | WA4 1GL,173875.0,4,48460.250033747594,102500,210000,WA4,304987.5,True
ADAMSON STREET | DL4 2JN,53666.333333333336,3,28041.059187080173,36000,85999,DL4,67499.75,True
ADDINGTONS ROAD | MK44 3HR,298000.0,3,12124.355652982142,285000,309000,MK44,418700.0,True
ADDISCOMBE GROVE | CR0 5BX,214849.75,20,16106.060486906616,199999,246000,CR0,357000.0,True
ADDISCOMBE GROVE | CR0 5BY,232199.9,10,16040.450260028378,199999,256000,CR0,357000.0,True
ADDISCOMBE ROAD | CR0 6AW,271500.0,4,93909.5309327014,150000,350000,CR0,357000.0,True
ADDISON GARDENS | W14 0DP,600000.0,3,10000.0,590000,610000,W14,760000.0,True
ADDISON ROAD | TN2 3GG,229600.0,5,39970.92693446075,185000,267500,TN2,309833.3333333334,True
ADELAIDE AVENUE | SE4 1LF,497333.3333333333,3,259222.555602967,250000,767000,SE4,634250.0,True
ADELAIDE ROAD | KT6 4SU,312500.0,3,106154.36872781072,190000,377500,KT6,491600.0,True
ADELAIDE ROAD | KT6 4TE,390000.0,3,10000.0,380000,400000,KT6,491600.0,True
