postcode,street_key,avg_price,transaction_count,std_dev,min_price,max_price,district,district_median,undervalued,Postcode,Latitude,Longitude,District,% Difference
PO14 4LY,ABSHOT ROAD | PO14 4LY,218333.0,3.0,2886.751346,215000.0,220000.0,PO14,335000.0,True,PO14 4LY,50.852572,-1.265306,Fareham,34.825970149253735
CV32 6EG,ACACIA ROAD | CV32 6EG,189500.0,3.0,19254.869514,170000.0,208500.0,CV32,363437.0,True,CV32 6EG,52.293302,-1.554112,Warwick,47.85891364940829
DN4 6NR,ACACIA ROAD | DN4 6NR,132500.0,4.0,28242.993231,100000.0,167000.0,DN4,181583.0,True,DN4 6NR,53.50993,-1.071045,Doncaster,27.03061409933749
TW7 5FE,ACADEMY PLACE | TW7 5FE,191333.0,3.0,141866.427788,103500.0,355000.0,TW7,459833.0,True,TW7 5FE,51.480893,-0.339362,Hounslow,58.39076360330816
GL7 1PW,ACANTHUS COURT | GL7 1PW,165444.0,3.0,44796.124791,114833.0,200000.0,GL7,406333.0,True,GL7 1PW,51.707824,-1.957222,Cotswold,59.28364174211792
BB1 2AL,ACCRINGTON ROAD | BB1 2AL,82000.0,3.0,12165.525061,68000.0,90000.0,BB1,141764.0,True,BB1 2AL,53.747702,-2.446154,Blackburn with Darwen,42.15738833554358
TN16 3SP,ACER ROAD | TN16 3SP,265000.0,3.0,91241.437954,160000.0,325000.0,TN16,434812.0,True,TN16 3SP,51.315404,0.034597,Bromley,39.054119941491955
GU34 1JW,ACKENDER ROAD | GU34 1JW,127000.0,5.0,32326.45975,90000.0,170000.0,GU34,393333.0,True,GU34 1JW,51.146402,-0.980404,East Hampshire,67.7118370439297
GU34 1NQ,ACKENDER ROAD | GU34 1NQ,271333.0,3.0,76356.619447,185000.0,330000.0,GU34,393333.0,True,GU34 1NQ,51.146141,-0.979594,East Hampshire,31.01697543811478
NE25 0JF,ACOMB AVENUE | NE25 0JF,105000.0,3.0,101336.074524,45000.0,222000.0,NE25,275838.0,True,NE25 0JF,55.066501,-1.522567,Northumberland,61.93417875709656
YO24 4HS,ACOMB ROAD | YO24 4HS,130083.0,6.0,19938.446947,92000.0,147500.0,YO24,287500.0,True,YO24 4HS,53.955467,-1.119982,York,54.75373913043479
HR2 6HR,ACONBURY AVENUE | HR2 6HR,183333.0,3.0,80829.037687,110000.0,270000.0,HR2,243983.0,True,HR2 6HR,52.03939,-2.71033,"Herefordshire, County of",24.858289307041883
